Rk,Name,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
26,Marcus Semien,33,TEX,4.1,159,718,650,101,154,27,2,23,74,8,3,64,105,0.237,0.308,0.391,0.699,100,0.31,100,254,9,3,0,1,2,*4,AS,semiema01
27,Kyle Tucker*,27,HOU,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,0.289,0.408,0.585,0.993,181,0.426,179,162,5,1,0,2,3,9/DH,AS,tuckeky01
28,Lawrence Butler*,23,OAK,3,125,451,412,63,108,24,2,22,57,18,0,35,108,0.262,0.317,0.49,0.807,131,0.357,130,202,8,0,0,4,0,*9H/8,,butlela01
29,Luke Raley*,29,SEA,3.2,137,455,404,58,98,19,2,22,58,11,2,27,135,0.243,0.32,0.463,0.783,129,0.346,131,187,2,20,2,2,0,739H/8D,,raleylu01
30,Jarren Duran*,27,BOS,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129,0.373,134,330,6,6,1,3,1,*87,AS,duranja01
31,Ryan Jeffers,27,MIN,2.1,122,465,412,56,93,22,0,21,64,3,0,32,94,0.226,0.3,0.432,0.732,103,0.322,103,178,9,14,1,6,0,2DH,,jeffery01
32,Brandon Lowe*,29,TBR,2.4,107,425,385,56,94,19,3,21,58,5,1,33,112,0.244,0.311,0.473,0.783,121,0.339,120,182,7,5,0,2,2,4D3H,,lowebr01
33,Jo Adell,25,LAA,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,0.207,0.28,0.402,0.682,91,0.297,90,163,9,7,0,3,1,*9H/D8,,adelljo01
34,Jose Altuve,34,HOU,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,0.295,0.35,0.439,0.79,126,0.348,126,276,15,7,0,0,2,*4/DH,AS,altuvjo01
35,Andrew Benintendi*,29,CHW,-0.8,135,522,477,50,109,20,0,20,64,3,2,41,96,0.229,0.289,0.396,0.685,95,0.299,92,189,12,1,0,3,1,*7H/D8,,beninan01
36,JJ Bleday*,26,OAK,2.2,159,642,572,74,139,43,4,20,60,2,3,67,125,0.243,0.324,0.437,0.762,120,0.333,121,250,8,2,1,0,2,*8H/D,,bledajj01
37,Logan O'Hoppe,24,LAA,2.7,136,522,479,64,117,17,1,20,56,2,3,33,155,0.244,0.303,0.409,0.712,100,0.315,102,196,7,8,1,1,0,*2/HD,,ohopplo01
38,Julio Rodríguez,23,SEA,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,0.273,0.325,0.409,0.734,116,0.334,121,232,10,6,0,2,1,*8D/H,,rodriju01
39,Randy Arozarena,29,2TM,1.7,154,648,549,77,120,33,0,20,60,20,10,73,169,0.219,0.332,0.388,0.72,109,0.323,113,213,7,22,0,4,0,*7/8DH,,arozara01
39,Randy Arozarena,29,TBR,0.7,100,409,350,45,74,19,0,15,37,16,7,45,101,0.211,0.318,0.394,0.712,104,0.316,104,138,3,11,0,3,0,7/8HD,,arozara01
39,Randy Arozarena,29,SEA,1,54,239,199,32,46,14,0,5,23,4,3,28,68,0.231,0.356,0.377,0.733,118,0.334,127,75,4,11,0,1,0,7/8D,,arozara01
40,Vinnie Pasquantino*,26,KCR,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,111,0.328,108,221,12,4,1,13,1,3D/H,,pasquvi01
41,Adley Rutschman#,26,BAL,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,107,0.313,107,223,9,2,0,7,3,2D/H,AS,rutscad01
42,George Springer,34,TOR,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,0.22,0.303,0.371,0.674,92,0.312,97,202,16,6,0,2,0,*9D/H8,,springe01
43,Andrew Vaughn,26,CHW,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,0.246,0.297,0.402,0.699,99,0.305,96,229,13,6,0,5,0,*3D/H,,vaughan01
44,Byron Buxton,30,MIN,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,137,0.369,136,186,3,11,0,2,1,8/HD,,buxtoby01
45,Kerry Carpenter*,26,DET,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,0.284,0.345,0.587,0.932,159,0.386,156,155,5,4,0,3,1,9DH/7,,carpeke01
46,Cedric Mullins*,29,BAL,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,0.234,0.305,0.405,0.71,107,0.322,107,180,1,5,2,2,0,*8H/D,,mullice01
47,Jose Siri,28,TBR,1.9,130,448,402,50,75,16,1,18,47,14,7,31,170,0.187,0.255,0.366,0.62,76,0.272,73,147,5,7,2,4,0,*8/H3D,,sirijo01
48,Daulton Varsho*,27,TOR,5.1,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,98,0.306,94,187,2,4,1,1,1,*87/H9D,,varshda01
49,Jordan Westburg,25,BAL,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,0.264,0.312,0.481,0.792,129,0.34,127,200,5,7,1,1,0,54/6D,AS,westbjo01
50,Zack Gelof,24,OAK,1.3,138,547,497,60,105,20,2,17,49,25,3,38,188,0.211,0.27,0.362,0.632,82,0.286,80,180,7,4,3,5,0,*4/H,,gelofza01
51,MJ Melendez*,25,KCR,-0.9,135,451,412,44,85,23,3,17,44,4,4,35,113,0.206,0.273,0.4,0.674,87,0.29,83,165,3,3,0,0,1,*7H/D93,,melenmj01
52,Yainer Diaz,25,HOU,3.2,148,619,585,70,175,29,3,16,84,2,0,24,107,0.299,0.325,0.441,0.766,118,0.339,120,258,22,2,0,8,1,2D3/H,,diazya02
53,Wyatt Langford,22,TEX,3.9,134,557,499,74,126,25,4,16,74,19,3,51,115,0.253,0.325,0.415,0.74,111,0.329,110,207,6,4,0,3,3,*7D8,,langfwy01
54,Royce Lewis,25,MIN,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,0.233,0.295,0.452,0.747,107,0.315,99,132,5,0,0,5,2,5D/H4,,lewisro02
55,Nathaniel Lowe*,28,TEX,2.7,140,565,486,62,129,16,1,16,69,2,0,71,125,0.265,0.361,0.401,0.762,120,0.342,122,195,9,4,0,4,1,*3/HD,,lowena01
56,Isaac Paredes,25,TBR,2.4,101,429,363,41,89,19,1,16,55,0,1,52,68,0.245,0.357,0.435,0.792,127,0.349,129,158,13,12,0,2,2,53D/H,AS,paredis01
57,Jorge Polanco#,30,SEA,1.4,118,469,417,43,89,11,0,16,45,4,2,46,137,0.213,0.296,0.355,0.651,93,0.294,96,148,16,4,0,2,3,*4/DH,,polanjo01
58,Matt Vierling,27,DET,2.9,144,567,518,80,133,28,5,16,57,6,1,41,121,0.257,0.312,0.423,0.735,107,0.323,106,219,9,3,0,5,1,859H7/D3,,vierlma01
59,Wilyer Abreu*,25,BOS,3.5,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114,0.339,112,183,7,3,0,5,0,*9H/78D,,abreuwi02
60,Mitch Garver,33,SEA,-0.1,114,430,367,37,63,17,0,15,51,0,0,53,133,0.172,0.286,0.341,0.627,85,0.282,88,125,9,7,0,3,0,D2/H,,garvemi01
61,Trevor Larnach*,27,MIN,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,116,0.341,117,154,12,3,0,2,1,7D9H,,larnatr01
62,Ryan O'Hearn*,30,BAL,2,142,494,443,60,117,21,3,15,59,3,1,46,69,0.264,0.334,0.427,0.761,122,0.337,125,189,7,2,0,3,2,3DH9/7,,ohearry01
63,Jeremy Peña,26,HOU,4.1,157,650,602,78,160,28,2,15,70,20,6,25,111,0.266,0.308,0.394,0.701,100,0.311,99,237,15,14,3,6,1,*6,,penaje02
64,Ceddanne Rafaela,23,BOS,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82,0.299,85,212,8,7,2,3,1,864/5H9,,rafaece01
65,Hunter Renfroe,32,KCR,0,120,424,385,44,88,18,0,15,52,1,1,36,84,0.229,0.297,0.392,0.689,92,0.308,94,151,10,2,0,1,0,*9/HD3,,renfrhu01
66,Gleyber Torres,27,NYY,1.8,154,665,587,80,151,26,0,15,63,4,3,65,136,0.257,0.33,0.378,0.709,101,0.318,103,222,6,3,2,8,0,*4/H,,torregl01
67,Seth Brown*,31,OAK,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,0.231,0.283,0.379,0.662,91,0.291,90,141,7,2,0,1,0,739H/D8,,brownse01
68,Carlos Correa,29,MIN,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,152,0.393,155,165,5,3,0,4,4,6/DH,AS,correca01
69,Yandy Díaz,32,TBR,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,0.281,0.341,0.414,0.755,116,0.336,119,233,12,4,0,4,0,*3D/H,,diazya01
70,David Fry,28,CLE,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,128,0.352,128,150,13,9,0,4,4,DH237/59,AS,fryda01
71,Steven Kwan*,26,CLE,3.9,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,126,0.352,128,204,5,5,2,0,0,*7/DH,AS,kwanst01
72,Michael Massey*,26,KCR,1.6,100,356,332,45,86,17,2,14,45,1,0,15,56,0.259,0.294,0.449,0.743,105,0.328,108,149,9,3,2,4,1,4HD,,massemi02
73,Mickey Moniak*,26,LAA,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,0.219,0.266,0.38,0.646,81,0.283,78,149,3,4,0,1,0,*89H/D7,,moniami01
74,Luis Robert Jr.,26,CHW,1.4,100,425,393,47,88,19,0,14,35,23,6,28,141,0.224,0.278,0.379,0.657,87,0.298,88,149,8,2,0,1,2,8/DH,,roberlu01
75,Triston Casas*,24,BOS,0.4,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120,0.34,116,98,6,1,0,0,4,3/HD,,casastr01
76,Jonah Heim#,29,TEX,1.1,131,491,459,45,101,12,1,13,59,1,1,26,90,0.22,0.267,0.336,0.602,72,0.268,71,154,13,4,0,2,0,*2DH,,heimjo01
77,Colt Keith*,22,DET,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,0.26,0.309,0.38,0.689,96,0.308,95,196,4,2,0,2,2,*4DH,,keithco01
78,Jake Meyers,28,HOU,1.7,148,513,461,51,101,20,3,13,61,11,3,35,117,0.219,0.286,0.36,0.646,85,0.288,83,166,17,10,3,4,0,*8H/7D,,meyerja02
79,Ryan Mountcastle,27,BAL,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,0.271,0.308,0.425,0.733,113,0.323,114,201,13,1,0,6,0,*3H/D,,mountry01
80,Bo Naylor*,24,CLE,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,0.201,0.264,0.35,0.614,73,0.272,71,124,3,2,2,2,1,*2H/D,,naylobo01
81,Jhonkensy Noel,22,CLE,1,67,198,179,25,39,7,1,13,28,0,0,13,63,0.218,0.288,0.486,0.774,115,0.333,114,87,1,5,0,1,0,9H/3D7,,noeljh01
82,Nolan Schanuel*,22,LAA,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,0.25,0.343,0.362,0.706,101,0.321,103,188,14,9,3,7,0,*3/HD,,schanno01
83,Davis Schneider,25,TOR,0,135,454,397,48,76,19,1,13,46,6,0,47,144,0.191,0.282,0.343,0.625,78,0.28,76,136,2,5,0,5,0,74H/D,,schneda03
84,Jon Singleton*,32,HOU,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,0.234,0.321,0.386,0.707,103,0.317,105,137,2,0,0,3,0,3HD,,singljo02
85,Josh Smith*,26,TEX,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,0.258,0.337,0.394,0.731,110,0.329,112,206,6,18,2,3,1,56DH/749,,smithjo11
86,Alex Verdugo*,28,NYY,0.7,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,83,0.288,81,199,14,1,2,10,0,*79/8,,verdual01
87,Matt Wallner*,26,MIN,2.2,75,261,220,26,57,17,1,13,37,3,0,24,95,0.259,0.372,0.523,0.894,149,0.387,149,115,2,16,0,1,0,97DH/1,,wallnma01
88,Austin Wells*,24,NYY,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103,0.318,104,140,9,5,1,7,0,*2H/D,,wellsau01
89,Connor Wong,28,BOS,1.6,126,487,447,54,125,24,1,13,52,8,7,28,114,0.28,0.333,0.425,0.758,110,0.327,107,190,7,9,1,2,1,23DH/47,,wongco01
90,Willi Castro#,27,MIN,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,0.247,0.331,0.385,0.717,102,0.326,108,215,8,21,1,4,0,64785/H1,AS,castrwi01
91,Ernie Clement,28,TOR,3.5,139,452,434,48,114,21,3,12,51,12,3,11,41,0.263,0.284,0.408,0.692,95,0.317,102,177,11,3,2,2,1,56H/4D17,,clemeer01
92,Mitch Haniger,33,SEA,-0.2,121,423,380,42,79,12,0,12,44,0,0,40,126,0.208,0.286,0.334,0.62,84,0.281,87,127,10,2,0,1,0,9DH,,hanigmi01
93,Spencer Horwitz*,26,TOR,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,0.265,0.357,0.433,0.79,125,0.346,125,142,8,7,0,4,2,34DH,,horwisp01
94,Korey Lee,25,CHW,0,125,394,377,36,79,14,1,12,37,6,3,17,122,0.21,0.244,0.347,0.591,68,0.264,68,131,12,0,0,0,0,*2H/D,,leeko01
95,Leody Taveras#,25,TEX,0.5,151,529,480,59,110,17,3,12,44,23,6,42,112,0.229,0.289,0.352,0.641,84,0.293,84,169,8,0,3,4,0,*8/HD,,taverle01
96,Anthony Volpe,23,NYY,3.4,160,689,637,90,155,27,7,12,60,28,7,42,156,0.243,0.293,0.364,0.657,86,0.296,84,232,9,4,2,3,1,*6/H,,volpean01
97,Jazz Chisholm Jr.*,26,NYY,1.5,46,191,176,28,48,7,0,11,23,18,2,14,45,0.273,0.325,0.5,0.825,130,0.373,130,88,2,0,0,1,0,8-May,,chishja01
98,Rob Refsnyder,33,BOS,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129,0.354,126,128,6,5,0,1,2,79HD,,refsnro01
99,Ramón Urías,30,BAL,1.5,100,301,272,39,69,9,2,11,37,1,1,23,55,0.254,0.322,0.423,0.745,117,0.326,117,115,0,5,0,1,0,5/H4D3,,uriasra01
100,Justin Turner,39,2TM,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,0.259,0.354,0.383,0.737,114,0.328,116,176,16,13,0,7,2,D3H/5,,turneju01
100,Justin Turner,39,TOR,0.4,91,349,301,37,77,17,0,6,31,0,2,39,60,0.256,0.35,0.372,0.722,107,0.321,109,112,15,6,0,3,0,D3/H5,,turneju01
100,Justin Turner,39,SEA,1.2,48,190,159,22,42,7,0,5,24,0,0,20,35,0.264,0.363,0.403,0.766,128,0.341,130,64,1,7,0,4,2,3D/H5,,turneju01
101,Josh Lowe*,26,TBR,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,0.241,0.302,0.391,0.693,98,0.315,93,138,2,0,0,2,4,97/HD8,,lowejo01
102,Dylan Moore,31,SEA,2.2,135,441,368,53,74,23,4,10,42,32,6,53,123,0.201,0.32,0.367,0.687,104,0.322,109,135,8,14,1,5,1,6547H3/8,,mooredy01
103,Jake Rogers,29,DET,1,102,337,310,43,61,16,1,10,36,1,0,22,99,0.197,0.255,0.352,0.607,71,0.27,69,109,6,3,0,2,1,2/DH,,rogerja03
104,Gavin Sheets*,28,CHW,-0.8,139,501,451,35,105,24,1,10,45,2,2,43,106,0.233,0.303,0.357,0.66,90,0.292,88,161,6,4,0,3,2,93DH,,sheetga01
105,Spencer Torkelson,24,DET,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,0.219,0.295,0.374,0.669,89,0.293,86,128,6,4,0,1,0,3/D,,torkesp01
106,Mike Trout,32,LAA,1.1,29,126,109,17,24,1,2,10,14,6,1,16,27,0.22,0.325,0.541,0.867,140,0.372,136,59,0,1,0,0,1,8/D,,troutmi01
107,Masataka Yoshida*,30,BOS,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112,0.341,114,157,6,14,0,2,0,DH/7,,yoshima02
108,José Caballero,27,TBR,1.7,139,483,441,53,100,24,1,9,44,44,16,27,133,0.227,0.283,0.347,0.63,80,0.292,83,153,6,9,3,3,1,654H/D,,cabaljo01
109,J.P. Crawford*,29,SEA,2.7,105,451,392,55,79,16,2,9,37,5,0,52,102,0.202,0.304,0.321,0.625,86,0.286,89,126,4,6,0,1,0,6/HD,,crawfjp01
110,Andrés Giménez*,25,CLE,4,152,633,583,64,147,22,1,9,63,30,5,26,97,0.252,0.298,0.34,0.638,82,0.294,81,198,11,15,3,6,1,*4,,gimenan01
111,Trent Grisham*,27,NYY,0.4,76,209,179,21,34,8,0,9,31,1,1,22,57,0.19,0.29,0.385,0.675,90,0.306,95,69,5,4,1,2,1,8H/D,,grishtr01
112,Parker Meadows*,24,DET,2.2,82,298,270,39,66,12,6,9,28,9,4,25,76,0.244,0.31,0.433,0.743,109,0.324,108,117,0,1,1,1,0,8/H,,meadopa01
113,José Miranda,26,MIN,1.6,121,429,401,44,114,28,4,9,49,2,2,18,66,0.284,0.322,0.441,0.763,112,0.333,112,177,13,6,0,4,1,5DH3/6,,miranjo01
114,Wenceel Pérez#,24,DET,0.7,112,425,389,51,94,16,6,9,37,9,5,32,92,0.242,0.3,0.383,0.683,93,0.302,93,149,5,1,2,1,0,98H/7D,,perezwe01
115,Tyler Soderstrom*,22,OAK,0.5,61,213,189,18,44,10,0,9,26,0,0,20,53,0.233,0.315,0.429,0.743,114,0.33,118,81,7,3,0,1,1,3/H2,,soderty01
116,Carson Kelly,29,2TM,0.5,91,313,281,32,67,9,1,9,37,0,0,25,55,0.238,0.313,0.374,0.687,96,0.305,95,105,6,6,0,1,0,2/DH,,kellyca02
116,Carson Kelly,29,DET,0.7,60,203,179,21,43,4,1,7,29,0,0,17,40,0.24,0.325,0.391,0.716,104,0.315,102,70,3,6,0,1,0,2/HD,,kellyca02
116,Carson Kelly,29,TEX,-0.2,31,110,102,11,24,5,0,2,8,0,0,8,15,0.235,0.291,0.343,0.634,82,0.286,83,35,3,0,0,0,0,2/DH,,kellyca02
117,Danny Jansen,29,2TM,0.7,92,324,278,35,57,13,0,9,24,0,0,40,61,0.205,0.309,0.349,0.658,87,0.302,91,97,4,3,0,3,0,2H/D,,janseda01
117,Danny Jansen,29,TOR,0.6,62,228,198,27,42,13,0,6,18,0,0,25,42,0.212,0.303,0.369,0.671,91,0.3,92,73,1,2,0,3,0,2/HD,,janseda01
117,Danny Jansen,29,BOS,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75,0.307,90,24,3,1,0,0,0,2/HD,,janseda01
118,Will Brennan*,26,CLE,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,0.264,0.309,0.388,0.697,97,0.307,96,128,9,3,0,1,2,97HD/8,,brennwi02
119,Oswaldo Cabrera#,25,NYY,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,0.247,0.296,0.365,0.661,87,0.3,90,109,6,1,2,3,0,5H34/6791,,cabreos01
120,Dominic Canzone*,26,SEA,0.1,67,188,168,20,33,7,0,8,17,1,0,18,53,0.196,0.271,0.381,0.652,91,0.29,92,64,5,0,0,2,2,97H/D,,canzodo01
121,Victor Caratini#,30,HOU,1.3,87,274,245,30,66,8,1,8,30,0,1,23,53,0.269,0.336,0.408,0.744,113,0.325,113,100,6,3,0,3,1,2H3/D,,caratvi01
122,Ty France,29,SEA,-0.2,88,340,300,28,67,14,0,8,31,0,1,28,83,0.223,0.312,0.35,0.662,97,0.3,102,105,11,11,0,1,0,3/H4D,,francty01
123,David Hamilton*,26,BOS,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92,0.331,95,116,1,1,0,0,0,64H,,hamilda03
124,Kyle Isbel*,27,KCR,1.8,136,426,384,62,88,13,8,8,42,11,2,27,88,0.229,0.287,0.367,0.654,83,0.296,82,141,4,5,8,2,0,*8H,,isbelky01
125,Edouard Julien*,25,MIN,-0.2,94,301,266,36,53,9,0,8,21,6,0,33,102,0.199,0.292,0.323,0.616,74,0.288,76,86,2,2,0,0,0,4H/D3,,julieed01
126,Max Kepler*,31,MIN,1,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,91,0.315,98,140,3,5,0,3,0,9H/D,,keplema01
127,Justyn-Henry Malloy,24,DET,-0.4,71,230,202,18,41,7,1,8,21,1,1,23,85,0.203,0.291,0.366,0.658,86,0.289,84,74,2,3,0,2,0,D7H/9,,malloju02
128,James McCann,34,BAL,0.8,65,233,214,27,50,9,0,8,31,1,0,13,56,0.234,0.279,0.388,0.667,94,0.293,93,83,3,2,0,4,0,1-Feb,,mccanja02
129,Anthony Rizzo*,34,NYY,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81,0.297,88,113,7,9,0,2,0,3/H,,rizzoan01
130,Brayan Rocchio#,23,CLE,1.8,143,442,383,50,79,18,0,8,36,10,6,44,90,0.206,0.298,0.316,0.614,76,0.281,78,121,11,8,2,5,1,*6/H,,rocchbr01
131,Josh Rojas*,30,SEA,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,0.225,0.304,0.336,0.641,91,0.289,92,142,6,3,1,2,1,*5H4/713D,,rojasjo01
132,Lenyn Sosa,24,CHW,-0.4,100,369,351,28,89,13,0,8,35,3,1,12,77,0.254,0.283,0.359,0.642,84,0.282,79,126,5,3,2,1,1,54/H3D,,sosale01
133,Jose Trevino,31,NYY,0.6,73,234,209,26,45,5,0,8,28,1,0,20,41,0.215,0.288,0.354,0.642,81,0.287,80,74,12,2,1,2,0,2/H1,,trevijo01
134,Nelson Velázquez,25,KCR,-0.5,64,230,205,31,41,8,1,8,27,2,0,19,61,0.2,0.274,0.366,0.64,78,0.285,76,75,6,3,0,3,0,D97/H,,velazne01
135,Kevin Pillar,35,2TM,0.4,100,314,284,38,65,16,1,8,45,12,3,16,69,0.229,0.291,0.377,0.667,88,0.298,86,107,10,10,1,3,0,8H79D,,pillake01
135,Kevin Pillar,35,CHW,0,17,32,25,1,4,2,0,1,4,2,0,4,8,0.16,0.29,0.36,0.65,86,0.303,83,9,0,1,1,1,0,/H89D,,pillake01
135,Kevin Pillar,35,LAA,0.3,83,282,259,37,61,14,1,7,41,10,3,12,61,0.236,0.291,0.378,0.669,88,0.298,86,98,10,9,0,2,0,8H79/D,,pillake01
136,Addison Barger*,24,TOR,0.4,69,225,208,20,41,11,0,7,28,2,0,14,60,0.197,0.25,0.351,0.601,70,0.272,70,73,1,1,0,1,0,59H7/D,,bargead01
137,Mark Canha,35,DET,0.6,93,377,320,42,74,17,0,7,38,4,0,42,79,0.231,0.337,0.35,0.687,97,0.32,103,112,9,11,0,4,2,3D79/H,,canhama01
138,Tyler Freeman,25,CLE,0.8,118,383,330,48,69,14,1,7,32,11,6,28,53,0.209,0.305,0.321,0.626,79,0.288,83,106,15,19,3,3,1,8H6/54D,,freemty01
139,Maikel Garcia,24,KCR,1.2,157,626,575,84,133,27,5,7,58,37,2,42,103,0.231,0.281,0.332,0.614,72,0.287,69,191,7,0,4,5,0,*54H/69,,garcima01
140,Josh Jung,26,TEX,0.6,46,188,178,19,47,5,1,7,16,4,0,8,48,0.264,0.298,0.421,0.719,104,0.319,103,75,1,1,0,1,0,5/D,,jungjo01
141,Isiah Kiner-Falefa,29,TOR,3.2,83,281,257,32,75,8,2,7,33,3,1,13,37,0.292,0.338,0.42,0.758,116,0.338,119,108,9,6,3,2,0,456/H18,,kineris01
142,Tyler Nevin,27,OAK,-0.2,87,278,245,22,50,10,0,7,20,1,0,25,64,0.204,0.288,0.331,0.618,80,0.279,80,81,5,5,0,3,0,359H7/D,,nevinty01
143,Ben Rice*,25,NYY,-0.4,50,178,152,20,26,6,0,7,23,0,1,20,48,0.171,0.264,0.349,0.613,72,0.275,74,53,2,1,0,5,0,3/H2,,ricebe01
144,Max Schuemann,27,OAK,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,0.22,0.311,0.308,0.619,82,0.292,86,122,8,7,5,4,0,65/4H789,,schuema01
145,Lane Thomas,28,CLE,-0.2,53,187,172,23,36,10,0,7,23,4,2,12,65,0.209,0.267,0.39,0.657,85,0.28,76,67,1,2,0,1,1,89/HD,,thomala02
146,Christian Vázquez,33,MIN,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,0.221,0.248,0.327,0.575,60,0.262,60,96,11,1,5,4,0,2/5DH3,,vazquch01
147,Tommy Pham,36,2TM,0.2,93,401,372,42,95,17,2,7,27,7,3,28,90,0.255,0.309,0.368,0.678,93,0.312,100,137,3,1,0,0,0,987/DH,,phamth01
147,Tommy Pham,36,CHW,0,70,297,271,33,72,14,1,5,19,6,3,25,63,0.266,0.33,0.38,0.71,104,0.327,112,103,2,1,0,0,0,987/HD,,phamth01
147,Tommy Pham,36,KCR,0.1,23,104,101,9,23,3,1,2,8,1,0,3,27,0.228,0.25,0.337,0.587,64,0.272,66,34,1,0,0,0,0,7/9D,,phamth01
148,Jonathan Aranda*,26,TBR,0.7,44,143,128,22,30,7,0,6,14,0,0,12,32,0.234,0.308,0.43,0.737,109,0.325,111,55,2,2,0,1,0,3DH/45,,arandjo01
149,Javier Báez,31,DET,-1.1,80,289,272,25,50,12,0,6,37,8,1,12,69,0.184,0.221,0.294,0.516,46,0.236,41,80,10,2,0,3,1,6/H,,baezja01
150,Junior Caminero,20,TBR,0.7,43,177,165,15,41,9,1,6,18,2,0,11,38,0.248,0.299,0.424,0.724,105,0.315,102,70,2,1,0,0,2,5/D3H,,caminju01
151,Jonny DeLuca,25,TBR,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,0.217,0.278,0.331,0.609,75,0.279,76,110,1,4,2,0,1,98H7/D,,delucjo01
152,Freddy Fermin,29,KCR,3,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,93,0.307,92,124,10,2,1,3,1,2D/H,,fermifr01
153,Romy González,27,BOS,1,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99,0.326,100,83,5,1,0,4,0,H4635/97D8,,gonzaro01
154,Luis Rengifo#,27,LAA,1.9,78,304,283,41,85,13,1,6,30,24,7,16,44,0.3,0.347,0.417,0.763,116,0.344,116,118,6,4,1,0,0,54/H69D,,rengilu01
155,Dominic Smith*,29,BOS,0,84,278,249,29,59,20,0,6,34,1,1,25,65,0.237,0.317,0.39,0.706,96,0.314,96,97,7,4,0,0,0,3H/D1,,smithdo02
156,Abraham Toro#,27,OAK,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87,0.285,85,118,4,5,2,0,1,54DH/37,,toroab01
157,Enmanuel Valdéz*,25,BOS,-0.6,76,223,201,23,43,12,0,6,28,1,1,17,53,0.214,0.27,0.363,0.633,74,0.277,70,73,4,0,1,4,0,4H/D57,,valdeen01
158,Eloy Jiménez,27,2TM,-0.7,98,349,324,25,77,14,0,6,23,3,0,22,70,0.238,0.289,0.336,0.626,81,0.282,80,109,13,2,0,1,1,DH/9,,jimenel02
